QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2024 8,CR 2025 1,Column-22,,,,,,,
KAR Govt Quota,SCG,Karnataka,"Mysore Med Coll, Mysore",MBBS,"₹ 64,350",1050,1,"₹ 15,00,000","₹ 30,000",55796,64373,-,-,-,-,-,59231,63386,-,-,-,43394,,,,,,
KAR Govt Quota,2BH,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",37518,37518,-,-,-,-,-,37252,37252,-,-,-,48055,,,,,,
KAR Govt Quota,1G,Karnataka,"ESIC Med Coll,Gulbarga",MBBS,"₹ 1,00,000",480,1,"₹ 5,00,000","₹ 26,300",-,-,-,-,-,-,-,-,-,-,-,-,48148,,,,,,
KAR Govt Quota,GM,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,"₹ 64,350",450,1,"₹ 15,00,000","₹ 30,000",51344,61191,-,-,-,-,-,52053,61313,-,-,-,43839,,,,,,
KAR Govt Quota,3BG,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,"₹ 64,350",450,1,"₹ 15,00,000","₹ 30,000",51956,61540,-,-,-,-,-,54505,65414,-,-,-,43898,,,,,,
KAR Govt Quota,GM,Karnataka,"Siddaganga Med Coll&RI,Tumakuru",MBBS,"₹ 1,53,571",Info Not Available,1,"₹ 15,00,000",Info not available,63084,68922,-,-,-,-,-,58921,61282,-,-,-,43895,,,,,,
KAR Govt Quota,3BR,Karnataka,Kodagu Inst of Med Sciences,MBBS,"₹ 64,350",600,1,"₹ 15,00,000","₹ 30,000",46558,52117,-,-,-,-,-,48595,54914,-,-,-,39872,,,,,,
KAR Govt Quota,1G,Karnataka,Kodagu Inst of Med Sciences,MBBS,"₹ 64,350",600,1,"₹ 15,00,000","₹ 30,000",63493,63493,-,-,-,-,-,54642,60372,-,-,-,46802,,,,,,
KAR Govt Quota,2AR,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",54559,61081,-,-,-,-,-,48394,55897,-,-,-,40340,,,,,,
KAR Govt Quota,SCR,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,"₹ 64,350",1993,1,"₹ 15,00,000","₹ 30,000",47593,52877,-,-,-,-,-,46786,51381,-,-,-,34934,,,,,,
KAR Govt Quota,3BR,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",55762,63290,-,-,-,-,-,54914,60587,-,-,-,47641,,,,,,
KAR Govt Quota,GM,Karnataka,"SSIMS & RC, Davangere",MBBS,"₹ 1,53,571",1190,1,"₹ 15,00,000",₹ 0,54111,60558,-,-,-,-,-,51045,57637,-,-,-,41425,,,,,,
KAR Govt Quota,3AG,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,"₹ 64,350",450,1,"₹ 15,00,000","₹ 30,000",55535,63446,-,-,-,-,-,52374,61800,-,-,-,44420,,,,,,
KAR Govt Quota,1H,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",46022,46022,-,-,-,-,-,40322,43756,-,-,-,33829,,,,,,
KAR Govt Quota,2AR,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,"₹ 64,350",750,1,"₹ 15,00,000","₹ 30,000",51275,59215,-,-,-,-,-,57932,67543,-,-,-,41054,,,,,,
KAR Govt Quota,2AK,Karnataka,"Gadag IMS, Gadag",MBBS,"₹ 64,350",850,1,"₹ 15,00,000","₹ 30,000",63653,64293,-,-,-,-,-,54759,54759,-,-,-,49044,,,,,,
KAR Govt Quota,2BG,Karnataka,"SDM College, Dharwad",MBBS,"₹ 1,56,621",670,1,"₹ 15,00,000","₹ 20,000",40339,55656,-,-,-,-,-,37022,47035,-,-,-,49234,,,,,,
KAR Govt Quota,1G,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,"₹ 64,350",873,1,"₹ 15,00,000","₹ 30,000",43517,43517,-,-,-,-,-,39589,41615,-,-,-,34786,,,,,,
KAR Govt Quota,2AG,Karnataka,"SDM College, Dharwad",MBBS,"₹ 1,56,621",670,1,"₹ 15,00,000","₹ 20,000",67956,67956,-,-,-,-,-,51022,52024,-,-,-,44608,,,,,,
KAR Govt Quota,2ARH,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",47937,60002,-,-,-,-,-,48482,51734,-,-,-,42359,,,,,,
KAR Govt Quota,2BG,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",51535,57073,-,-,-,-,-,58169,67320,-,-,-,44622,,,,,,
KAR Govt Quota,3AH,Karnataka,"Mandya IMS, Mandya",MBBS,"₹ 64,350",850,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,-,-,-,-,-,21661,,,,,,
KAR Govt Quota,2BR,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",80275,80275,-,-,-,-,-,63607,72304,-,-,-,49549,,,,,,
KAR Govt Quota,GMH,Karnataka,"PES University IMSR, Bangalore",MBBS,"₹ 1,56,621",Info Not Available,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,44066,,,,,,
KAR Govt Quota,1RH,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",49190,49190,-,-,-,-,-,46512,46512,-,-,-,48993,,,,,,
KAR Govt Quota,2AG,Karnataka,"Bidar IMS, Bidar",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",50737,55494,-,-,-,-,-,48308,48943,-,-,-,41621,,,,,,
KAR Govt Quota,GMH,Karnataka,"Father Mullers, Mangalore",MBBS,"₹ 1,53,571",1250,1,"₹ 15,00,000","₹ 15,000",48928,48928,-,-,-,-,-,58803,58803,-,-,-,35885,,,,,,
KAR Govt Quota,3AG,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",57233,61272,-,-,-,-,-,51748,57697,-,-,-,42684,,,,,,
KAR Govt Quota,GMK,Karnataka,"Koppal Inst of MS, Koppal",MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",53038,53038,-,-,-,-,-,50526,52059,-,-,-,30375,,,,,,
KAR Govt Quota,2AK,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,"₹ 64,350",873,1,"₹ 15,00,000","₹ 30,000",53743,53743,-,-,-,-,-,-,-,-,-,-,47242,,,,,,
KAR Govt Quota,2AG,Karnataka,"Koppal Inst of MS, Koppal",MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",52819,55728,-,-,-,-,-,48736,51605,-,-,-,40156,,,,,,
KAR Govt Quota,GMR,Karnataka,"JJM Med Coll, Davangere",MBBS,"₹ 1,53,571",1930,1,"₹ 15,00,000",Info not available,56105,56105,-,-,-,-,-,63356,63356,-,-,-,48565,,,,,,
KAR Govt Quota,2BG,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",45775,50959,-,-,-,-,-,38438,45487,-,-,-,35987,,,,,,
KAR Govt Quota,2BG,Karnataka,"PES University IMSR, Bangalore",MBBS,"₹ 1,56,621",Info Not Available,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,70906,79454,-,-,-,33372,,,,,,
KAR Govt Quota,2BR,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,"₹ 64,350",750,1,"₹ 15,00,000","₹ 30,000",48570,82949,-,-,-,-,-,51607,58169,-,-,-,50456,,,,,,
KAR Govt Quota,3AH,Karnataka,"Gadag IMS, Gadag",MBBS,"₹ 64,350",850,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,-,-,-,-,-,37023,,,,,,
KAR Govt Quota,GMR,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",59825,66239,-,-,-,-,-,58629,62248,-,-,-,48768,,,,,,
KAR Govt Quota,2AG,Karnataka,Chikkaballapura Inst Of Med Sci,MBBS,"₹ 64,350",300,1,"₹ 15,00,000","₹ 30,000",60693,65389,-,-,-,-,-,56222,59702,-,-,-,47933,,,,,,
KAR Govt Quota,GMR,Karnataka,"KS Hegde, Mangalore",MBBS,"₹ 1,56,621",1000,1,"₹ 15,00,000","₹ 30,000",43205,63715,-,-,-,-,-,54779,56952,-,-,-,50113,,,,,,
KAR Govt Quota,3BR,Karnataka,"SDM College, Dharwad",MBBS,"₹ 1,56,621",670,1,"₹ 15,00,000","₹ 20,000",-,-,-,-,-,-,-,-,-,-,-,-,44962,,,,,,
KAR Govt Quota,2BH,Karnataka,"ESIC Med Coll,Gulbarga",MBBS,"₹ 1,00,000",480,1,"₹ 5,00,000","₹ 26,300",54022,55830,-,-,-,-,-,51020,52627,-,-,-,42588,,,,,,
KAR Govt Quota,1G,Karnataka,"Koppal Inst of MS, Koppal",MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,42452,51013,-,-,-,44669,,,,,,
KAR Govt Quota,GMR,Karnataka,"Yenepoya Med Coll, Mangalore",MBBS,"₹ 1,56,621",910,1,"₹ 15,00,000","₹ 25,000",62968,66715,-,-,-,-,-,60587,82285,-,-,-,51028,,,,,,
KAR Govt Quota,3BR,Karnataka,"JJM Med Coll, Davangere",MBBS,"₹ 1,53,571",1930,1,"₹ 15,00,000",Info not available,61039,61039,-,-,-,-,-,63812,63812,-,-,-,50119,,,,,,
KAR Govt Quota,3BRH,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,"₹ 64,350",873,1,"₹ 15,00,000","₹ 30,000",51644,51644,-,-,-,-,-,45048,52304,-,-,-,51297,,,,,,
KAR Govt Quota,SCH,Karnataka,"Mysore Med Coll, Mysore",MBBS,"₹ 64,350",1050,1,"₹ 15,00,000","₹ 30,000",57542,65366,-,-,-,-,-,59950,70940,-,-,-,48218,,,,,,
KAR Govt Quota,GMRH,Karnataka,"Kempegowda IMS, Bangalore",MBBS,"₹ 1,53,571",1100,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,44114,44114,-,-,-,47808,,,,,,
KAR Govt Quota,2BR,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,-,-,-,-,-,51536,,,,,,
KAR Govt Quota,GM,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",58848,65180,-,-,-,-,-,55675,62947,-,-,-,44690,,,,,,
KAR Govt Quota,GM,Karnataka,"MVJMC&RH, Bangalore",MBBS,"₹ 1,53,571",833,1,"₹ 15,00,000","₹ 7,500",52570,65053,-,-,-,-,-,51792,63668,-,-,-,43416,,,,,,
KAR Govt Quota,GMH,Karnataka,"AJIMS, Mangalore",MBBS,"₹ 1,53,571",910,1,"₹ 15,00,000",Info not available,68373,68373,-,-,-,-,-,68308,68519,-,-,-,51922,,,,,,
KAR Govt Quota,3AG,Karnataka,"AIMS, Adichunchanagiri, Bellur",MBBS,"₹ 1,56,621",1120,1,"₹ 15,00,000","₹ 10,000",61288,66553,-,-,-,-,-,56011,62328,-,-,-,47268,,,,,,
KAR Govt Quota,3BG,Karnataka,"AJIMS, Mangalore",MBBS,"₹ 1,53,571",910,1,"₹ 15,00,000",Info not available,49658,53922,-,-,-,-,-,45806,61358,-,-,-,36126,,,,,,
KAR Govt Quota,XD,Karnataka,"JJM Med Coll, Davangere",MBBS,"₹ 1,53,571",1930,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,52477,,,,,,
KAR Govt Quota,2BK,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,"₹ 64,350",1993,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,-,-,-,-,-,52528,,,,,,
KAR Govt Quota,2AH,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,"₹ 64,350",873,1,"₹ 15,00,000","₹ 30,000",58913,60809,-,-,-,-,-,49658,51978,-,-,-,48959,,,,,,
KAR Govt Quota,3AH,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",54409,57247,-,-,-,-,-,57299,69922,-,-,-,47370,,,,,,
KAR Govt Quota,2AG,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",62974,68691,-,-,-,-,-,61448,67096,-,-,-,50335,,,,,,
KAR Govt Quota,3BR,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",60166,66240,-,-,-,-,-,59492,68134,-,-,-,49048,,,,,,
KAR Govt Quota,3BG,Karnataka,"DR BR Ambedkar, Bangalore",MBBS,"₹ 1,53,571",570,1,"₹ 15,00,000",Info not available,51756,52659,74572,-,-,-,-,48623,63433,-,-,-,33696,,,,,,
KAR Govt Quota,2AR,Karnataka,"Kasturba Med Coll, Mangalore",MBBS,"₹ 2,43,571",1290,1,"₹ 15,00,000","₹ 30,000",45657,45657,-,-,-,-,-,46714,60321,-,-,-,52790,,,,,,
KAR Govt Quota,3ARH,Karnataka,"ESI, Bangalore",MBBS,"₹ 1,00,000",530,1,"₹ 5,00,000","₹ 26,300",-,-,-,-,-,-,-,-,-,-,-,-,49506,,,,,,
KAR Govt Quota,2AR,Karnataka,Kodagu Inst of Med Sciences,MBBS,"₹ 64,350",600,1,"₹ 15,00,000","₹ 30,000",54371,54559,-,-,-,-,-,55249,66059,-,-,-,49014,,,,,,
KAR Govt Quota,3AR,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,59158,62331,-,-,-,50109,,,,,,
KAR Govt Quota,3AG,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",59655,68795,-,-,-,-,-,56402,65168,-,-,-,45801,,,,,,
KAR Govt Quota,2BG,Karnataka,"JJM Med Coll, Davangere",MBBS,"₹ 1,53,571",1930,1,"₹ 15,00,000",Info not available,54797,54797,-,-,-,-,-,54112,62468,-,-,-,46650,,,,,,
KAR Govt Quota,GMK,Karnataka,Kodagu Inst of Med Sciences,MBBS,"₹ 64,350",600,1,"₹ 15,00,000","₹ 30,000",61463,66912,-,-,-,-,-,54231,54231,-,-,-,40505,,,,,,
KAR Govt Quota,2AG,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",58878,61361,-,-,-,-,-,55186,57073,-,-,-,46985,,,,,,
KAR Govt Quota,3AG,Karnataka,"SSIMS & RC, Davangere",MBBS,"₹ 1,53,571",1190,1,"₹ 15,00,000",₹ 0,55219,64497,-,-,-,-,-,54869,58406,-,-,-,41586,,,,,,
KAR Govt Quota,3BH,Karnataka,"Kempegowda IMS, Bangalore",MBBS,"₹ 1,53,571",1100,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,53489,,,,,,
KAR Govt Quota,2AR,Karnataka,"MS Ramaiah, Bangalore",MBBS,"₹ 1,56,621",1331,1,"₹ 15,00,000","₹ 15,000",41376,50047,-,-,-,-,-,54025,54025,-,-,-,53538,,,,,,
KAR Govt Quota,3BR,Karnataka,"Kempegowda IMS, Bangalore",MBBS,"₹ 1,53,571",1100,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,50199,,,,,,
KAR Govt Quota,GMK,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,"₹ 64,350",750,1,"₹ 15,00,000","₹ 30,000",68671,68807,-,-,-,-,-,48358,50615,-,-,-,54031,,,,,,
KAR Govt Quota,XD,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,-,-,-,-,-,41554,,,,,,
KAR Govt Quota,CAP,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,84598,84598,-,-,-,54155,,,,,,
KAR Govt Quota,GM,Karnataka,"Sapthagiri IMS&RC, Bangalore",MBBS,"₹ 1,82,371",500,1,"₹ 15,00,000",₹ 0,57741,64919,-,-,-,-,-,58157,65870,-,-,-,47164,,,,,,
KAR Govt Quota,GMR,Karnataka,"AJIMS, Mangalore",MBBS,"₹ 1,53,571",910,1,"₹ 15,00,000",Info not available,50979,54932,-,-,-,-,-,59753,60375,-,-,-,50792,,,,,,
KAR Govt Quota,GM,Karnataka,"BGS Med Coll & Hosp, Bangalore",MBBS,"₹ 1,56,621",Info Not Available,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,57705,68174,-,-,-,48336,,,,,,
KAR Govt Quota,2BG,Karnataka,"Bidar IMS, Bidar",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",48578,48578,-,-,-,-,-,45487,61066,-,-,-,40299,,,,,,
KAR Govt Quota,GMK,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",64099,64099,-,-,-,-,-,55445,55445,-,-,-,51927,,,,,,
KAR Govt Quota,2AR,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",60779,64193,-,-,-,-,-,57479,58108,-,-,-,51315,,,,,,
KAR Govt Quota,2AG,Karnataka,"JJM Med Coll, Davangere",MBBS,"₹ 1,53,571",1930,1,"₹ 15,00,000",Info not available,71347,71347,-,-,-,-,-,63839,64872,-,-,-,51613,,,,,,
KAR Govt Quota,1G,Karnataka,"AJIMS, Mangalore",MBBS,"₹ 1,53,571",910,1,"₹ 15,00,000",Info not available,60948,64065,-,-,-,-,-,64438,64438,-,-,-,54505,,,,,,
KAR Govt Quota,2BG,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",51267,57878,-,-,-,-,-,52037,65497,-,-,-,47736,,,,,,
KAR Govt Quota,2AR,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,"₹ 64,350",873,1,"₹ 15,00,000","₹ 30,000",49333,51275,-,-,-,-,-,43400,48394,-,-,-,35548,,,,,,
KAR Govt Quota,GMR,Karnataka,"BGS IMS, Bangalore",MBBS,"₹ 1,53,571",766,1,"₹ 15,00,000","₹ 10,000",64063,64959,-,-,-,-,-,59093,59093,-,-,-,54295,,,,,,
KAR Govt Quota,3BG,Karnataka,"SSIMS & RC, Davangere",MBBS,"₹ 1,53,571",1190,1,"₹ 15,00,000",₹ 0,55911,63084,-,-,-,-,-,55235,63638,-,-,-,46347,,,,,,
KAR Govt Quota,3BG,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",60114,67859,-,-,-,-,-,56776,65836,-,-,-,45408,,,,,,
KAR Govt Quota,3AG,Karnataka,"Siddaganga Med Coll&RI,Tumakuru",MBBS,"₹ 1,53,571",Info Not Available,1,"₹ 15,00,000",Info not available,63446,69772,-,-,-,-,-,60567,69086,-,-,-,47470,,,,,,
KAR Govt Quota,3AG,Karnataka,"MVJMC&RH, Bangalore",MBBS,"₹ 1,53,571",833,1,"₹ 15,00,000","₹ 7,500",54423,68875,-,-,-,-,-,56639,65957,-,-,-,46124,,,,,,
KAR Govt Quota,1G,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",55193,55193,-,-,-,-,-,58139,63680,-,-,-,54252,,,,,,
KAR Govt Quota,3AR,Karnataka,"BGS IMS, Bangalore",MBBS,"₹ 1,53,571",766,1,"₹ 15,00,000","₹ 10,000",-,-,-,-,-,-,-,62731,62731,-,-,-,55001,,,,,,
KAR Govt Quota,2BG,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,"₹ 64,350",450,1,"₹ 15,00,000","₹ 30,000",52663,66342,-,-,-,-,-,57248,66176,-,-,-,48141,,,,,,
KAR Govt Quota,2BG,Karnataka,Kodagu Inst of Med Sciences,MBBS,"₹ 64,350",600,1,"₹ 15,00,000","₹ 30,000",50959,52663,-,-,-,-,-,49861,62556,-,-,-,50675,,,,,,
KAR Govt Quota,2BG,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",63957,70194,-,-,-,-,-,62556,68970,-,-,-,50351,,,,,,
KAR Govt Quota,GMR,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,"₹ 64,350",450,1,"₹ 15,00,000","₹ 30,000",60681,66518,-,-,-,-,-,60179,70407,-,-,-,47803,,,,,,
KAR Govt Quota,GMH,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,"₹ 64,350",Info Not Available,1,"₹ 15,00,000","₹ 30,000",61499,64537,-,-,-,-,-,64947,69598,-,-,-,55916,,,,,,
KAR Govt Quota,GM,Karnataka,"Nijalingappa, Bagalkot",MBBS,"₹ 1,53,571",1140,1,"₹ 15,00,000",₹ 0,59619,67570,78380,-,-,-,-,61515,67711,-,-,-,49342,,,,,,
KAR Govt Quota,2BG,Karnataka,"Dr Chandramma DS Inst, Hubli",MBBS,"₹ 1,56,621",900,1,"₹ 15,00,000",₹ 0,66857,66857,-,-,-,-,-,54843,73896,-,-,-,56089,,,,,,
KAR Govt Quota,2BK,Karnataka,"Mandya IMS, Mandya",MBBS,"₹ 64,350",850,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,62203,62203,-,-,-,56102,,,,,,
KAR Govt Quota,GM,Karnataka,"SMC, Shimoga",MBBS,"₹ 1,53,571",1250,1,"₹ 15,00,000","₹ 30,000",61525,68748,-,-,-,-,-,59957,69332,-,-,-,50204,,,,,,
KAR Govt Quota,2BG,Karnataka,"SSIMS & RC, Davangere",MBBS,"₹ 1,53,571",1190,1,"₹ 15,00,000",₹ 0,66604,70723,-,-,-,-,-,65497,76819,-,-,-,48988,,,,,,
KAR Govt Quota,2BRH,Karnataka,"VIMS, Bellary",MBBS,"₹ 64,350",1295,1,"₹ 15,00,000","₹ 30,000",46617,46617,-,-,-,-,-,60816,60816,-,-,-,56322,,,,,,
KAR Govt Quota,1G,Karnataka,"Bidar IMS, Bidar",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",42289,57727,-,-,-,-,-,50832,56777,-,-,-,50982,,,,,,
KAR Govt Quota,3BG,Karnataka,"PES University IMSR, Bangalore",MBBS,"₹ 1,56,621",Info Not Available,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,49997,59819,-,-,-,34708,,,,,,
KAR Govt Quota,2AG,Karnataka,"KS Hegde, Mangalore",MBBS,"₹ 1,56,621",1000,1,"₹ 15,00,000","₹ 30,000",73827,75180,-,-,-,-,-,70472,71322,-,-,-,52241,,,,,,
KAR Govt Quota,GM,Karnataka,"MRMC, Gulbarga",MBBS,"₹ 1,53,571",1038,1,"₹ 15,00,000",Info not available,53840,67447,-,-,-,-,-,52994,65332,-,-,-,46847,,,,,,
KAR Govt Quota,3AR,Karnataka,"SDM College, Dharwad",MBBS,"₹ 1,56,621",670,1,"₹ 15,00,000","₹ 20,000",-,-,-,-,-,-,-,-,-,-,-,-,54664,,,,,,
KAR Govt Quota,GM,Karnataka,Sri Madhusudan Sai InstofMed Sci,MBBS,₹ 0,Info Not Available,5,Info not available,₹ 0,60317,68774,-,-,-,-,-,54938,64601,-,79046,-,52568,,,,,,
KAR Govt Quota,GMR,Karnataka,"DR BR Ambedkar, Bangalore",MBBS,"₹ 1,53,571",570,1,"₹ 15,00,000",Info not available,64916,70335,-,-,-,-,-,64184,64498,-,-,-,55404,,,,,,
KAR Govt Quota,3BG,Karnataka,"Nijalingappa, Bagalkot",MBBS,"₹ 1,53,571",1140,1,"₹ 15,00,000",₹ 0,62200,71322,-,-,-,-,-,64910,70790,-,-,-,51207,,,,,,
KAR Govt Quota,3BH,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",48329,55560,-,-,-,-,-,55059,58815,-,-,-,48777,,,,,,
KAR Govt Quota,STG,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,"₹ 64,350",1993,1,"₹ 15,00,000","₹ 30,000",37149,37474,-,-,-,-,-,27080,49907,-,-,-,32046,,,,,,
KAR Govt Quota,GMRH,Karnataka,"Raichur IMS, Raichur",MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",53807,56827,-,-,-,-,-,57146,65610,-,-,-,53791,,,,,,
KAR Govt Quota,2AR,Karnataka,"ESIC Med Coll,Gulbarga",MBBS,"₹ 1,00,000",480,1,"₹ 5,00,000","₹ 26,300",-,-,-,-,-,-,-,56709,56709,-,-,-,57181,,,,,,
KAR Govt Quota,3BG,Karnataka,"MRMC, Gulbarga",MBBS,"₹ 1,53,571",1038,1,"₹ 15,00,000",Info not available,60885,73393,-,-,-,-,-,-,-,-,-,-,48072,,,,,,
KAR Govt Quota,GMH,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",60051,60051,-,-,-,-,-,66187,68308,-,-,-,50917,,,,,,
KAR Govt Quota,3BK,Karnataka,Karwar Inst of Med Sciences,MBBS,"₹ 64,350",650,1,"₹ 15,00,000","₹ 30,000",-,-,-,-,-,-,-,56276,56276,-,-,-,52989,,,,,,
KAR Govt Quota,GMK,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,"₹ 64,350",330,1,"₹ 15,00,000","₹ 30,000",64351,75865,-,-,-,-,-,56180,70994,-,-,-,57239,,,,,,
KAR Govt Quota,3AR,Karnataka,"VIMS , Bangalore",MBBS,"₹ 1,53,571",1600,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,54074,,,,,,
KAR Govt Quota,GMK,Karnataka,"ESIC Med Coll,Gulbarga",MBBS,"₹ 1,00,000",480,1,"₹ 5,00,000","₹ 26,300",-,-,-,-,-,-,-,48157,54290,-,-,-,57382,,,,,,
KAR Govt Quota,D,Karnataka,"PES University IMSR, Bangalore",MBBS,"₹ 1,56,621",Info Not Available,1,"₹ 15,00,000",Info not available,-,-,-,-,-,-,-,-,-,-,-,-,57423,,,,,,
KAR Govt Quota,2BG,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",65715,71793,-,-,-,-,-,67320,72814,-,-,-,52884,,,,,,
KAR Govt Quota,GMR,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",63813,69845,-,-,-,-,-,61661,72154,-,-,-,53096,,,,,,
KAR Govt Quota,3AR,Karnataka,Chitradurga Medical College,MBBS,"₹ 64,350",500,1,"₹ 15,00,000","₹ 30,000",63955,70921,-,-,-,-,-,62265,72574,-,-,-,54166,,,,,,
