QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2025 1
AI,EWS,Telangana,"Govt Med Coll, Maheshwaram",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,26437,28569,-,-,-,-,24918
AI,SC,Telangana,"Govt Med Coll, Maheshwaram",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,120110,120110,-,-,-,-,106467
AI,Open,Telangana,"Govt Med Coll, Medak",MBBS,"₹ 14,000",250,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,22529,23917,-,-,-,-,18073
AI,OBC,Telangana,"Govt Med Coll, Medak",MBBS,"₹ 14,000",250,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,22872,24464,24979,-,-,-,20339
AI,EWS,Telangana,"Govt Med Coll, Medak",MBBS,"₹ 14,000",250,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,23956,27560,-,-,-,-,19796
AI,SC,Telangana,"Govt Med Coll, Medak",MBBS,"₹ 14,000",250,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,120235,130374,-,-,-,-,104671
AI,Open,Telangana,"Govt Med Coll, Mulugu",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,18579,22364,24358,-,-,-,-,20167
AI,OBC,Telangana,"Govt Med Coll, Mulugu",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,19925,22791,24662,-,-,-,-,20605
AI,EWS,Telangana,"Govt Med Coll, Mulugu",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,23270,26593,28230,-,-,-,-,23911
AI,SC,Telangana,"Govt Med Coll, Mulugu",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,63659,118445,131541,-,-,-,-,94550
AI,ST,Telangana,"Govt Med Coll, Mulugu",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,130747,155803,165882,-,-,-,-,108980
AI,Open,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",17807,20746,21666,23479,-,-,17671,21207,23066,-,-,-,-,17900
AI,OBC,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",18640,21398,22194,-,-,-,19206,22353,24467,24864,-,-,-,19721
AI,EWS,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",20416,23003,23003,-,-,-,20355,25966,25966,-,-,-,-,23307
AI,SC,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",96705,114940,120439,-,-,-,104025,122669,131910,136611,-,-,-,102374
AI,ST,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",133396,141230,156647,-,-,-,122576,137789,160979,167218,-,-,-,123852
AI,Open-PwD,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",879350,-,-,-,-,-,647027,1100721,973783,-,-,-,-,846098
AI,OBC-PwD,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",1020227,1137567,-,-,-,-,-,-,-,-,-,-,-,939435
AI,Open,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",17199,20034,20151,-,-,-,17058,20425,21257,-,-,-,-,17800
AI,OBC,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",18439,20567,20865,-,-,-,18778,20770,22399,-,-,-,-,18976
AI,EWS,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",18937,21845,22302,-,-,-,20650,23669,25105,-,-,-,-,22783
AI,SC,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",95384,110210,116244,-,-,-,101960,115495,125937,-,-,-,-,97450
AI,ST,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",118837,118837,148725,-,-,-,129325,133094,156982,-,-,-,-,112609
AI,Open-PwD,Telangana,"Govt Med Coll, Nalgonda",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",-,-,-,-,-,-,644945,644945,644945,-,-,-,-,617644
AI,Open,Telangana,"Govt Med Coll, Narayanpet",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,19263,20926,24197,24861,-,-,-,17038
AI,OBC,Telangana,"Govt Med Coll, Narayanpet",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,19867,22734,24584,-,-,-,-,20307
AI,EWS,Telangana,"Govt Med Coll, Narayanpet",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,23097,26086,26086,-,-,-,-,24991
AI,SC,Telangana,"Govt Med Coll, Narayanpet",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,105229,112773,124756,-,-,-,-,90601
AI,ST,Telangana,"Govt Med Coll, Narayanpet",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,142347
AI,Open,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",15600,18382,19608,-,-,-,16194,19025,19647,23892,-,-,-,15751
AI,OBC,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",17075,18810,19759,-,-,-,17268,19507,21013,-,-,-,-,16908
AI,EWS,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",17546,21162,20123,-,-,-,18485,22808,22808,-,-,-,-,17052
AI,ST,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",53543,53543,53543,-,-,-,74628,74628,74628,-,-,-,-,59713
AI,SC,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",89636,105533,112362,-,-,-,89490,102035,116199,-,-,-,-,80061
AI,Open-PwD,Telangana,"Govt Med Coll, Nizamabad",MBBS,"₹ 14,000",500,0,₹ 0,"₹25,960",790196,726462,726462,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,21777,23310,-,-,-,-,13641
AI,OBC,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,22685,23657,-,-,-,-,20473
AI,SC,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,114845,129654,-,-,-,-,86163
AI,ST,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,154733,162296,-,-,-,-,-
AI,Open-PwD,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,1139323,1139323,-,-,-,-,-
AI,EWS,Telangana,"Govt Med Coll, Quthbullapur",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,24686
AI,Open,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,"₹ 14,000",330,0,₹ 0,"₹25,960",15770,20026,21981,23501,-,-,16102,20824,23333,24203,25124,-,-,17968
AI,OBC,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,"₹ 14,000",330,0,₹ 0,"₹25,960",17255,21357,22634,-,-,-,18039,21996,23566,24964,-,-,-,19248
AI,EWS,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,"₹ 14,000",330,0,₹ 0,"₹25,960",18907,23269,24189,-,-,-,19319,23646,27093,-,-,-,-,21384
AI,SC,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,"₹ 14,000",330,0,₹ 0,"₹25,960",82906,112839,114623,-,-,-,98353,118499,127919,-,-,-,-,98635
AI,ST,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,"₹ 14,000",330,0,₹ 0,"₹25,960",89341,130255,149462,-,-,-,123516,134177,157938,-,-,-,-,63398
AI,Open,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",16378,19587,19734,-,-,-,16415,19548,20824,-,-,-,-,17333
AI,OBC,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",18004,20193,20270,-,-,-,17590,19871,21818,-,-,-,-,18607
AI,EWS,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",18302,20842,20842,-,-,-,20014,23264,23669,-,-,-,-,20415
AI,SC,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",65083,97934,115730,-,-,-,96138,101158,118830,-,-,-,-,92458
AI,ST,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",93422,104337,121234,-,-,-,108498,132085,132085,-,-,-,-,110028
AI,Open-PwD,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",-,-,-,-,-,-,437901,447209,447209,-,-,-,-,-
AI,OBC-PwD,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",-,-,-,-,-,-,893069,893069,1039257,-,-,-,-,-
AI,EWS-PwD,Telangana,"Govt Med Coll, Siddipet",MBBS,"₹ 14,000",780,0,₹ 0,"₹25,960",-,-,-,-,-,-,859393,859393,-,-,-,-,-,-
AI,Open,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",17555,19711,19861,-,-,-,17157,19620,20347,-,-,-,-,17662
AI,OBC,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",18242,20556,20557,-,-,-,18479,20321,22165,-,-,-,-,18618
AI,EWS,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",19477,21107,21645,-,-,-,20672,23270,23270,-,-,-,-,22645
AI,SC,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",95366,108675,112857,-,-,-,101072,111758,118219,-,-,-,-,99703
AI,ST,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",107259,115452,139539,-,-,-,70892,124924,147054,-,-,-,-,111793
AI,Open-PwD,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",658826,786592,786592,-,-,-,-,-,-,-,-,-,-,734012
AI,OBC-PwD,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",926410,1129732,-,-,-,-,-,-,-,-,-,-,-,875149
AI,SC-PwD,Telangana,"Govt Med Coll, Suryapet",MBBS,"₹ 14,000",580,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,1315471
AI,Open,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,22815,23857,-,-,-,-,18193
AI,OBC,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,22929,23929,-,-,-,-,20855
AI,EWS,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,26596,27658,-,-,-,-,24618
AI,SC,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,122409,122409,-,-,-,-,105026
AI,ST,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,154947,158896,-,-,-,-,129006
AI,OBC-PwD,Telangana,"Govt Med Coll, Yadadri",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,1052761,1052761,-,-,-,-,-
AI,Open,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,"₹ 14,000",350,0,₹ 0,"₹25,960",18658,21125,21921,-,-,-,19198,22096,24171,24827,-,-,-,20375
AI,OBC,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,"₹ 14,000",350,0,₹ 0,"₹25,960",19414,21804,22359,-,-,-,19589,22467,24541,24946,-,-,-,20893
AI,EWS,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,"₹ 14,000",350,0,₹ 0,"₹25,960",20842,23054,23054,-,-,-,22934,25888,26596,-,-,-,-,24456
AI,SC,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,"₹ 14,000",350,0,₹ 0,"₹25,960",98082,113684,120611,127615,-,-,103621,119612,129921,-,-,-,-,106101
AI,ST,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,"₹ 14,000",350,0,₹ 0,"₹25,960",135529,144122,154828,166655,-,-,131871,136796,158871,-,-,-,-,134753
AI,Open,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",11405,14494,16169,-,-,-,9792,14426,16074,-,-,-,-,8974
AI,OBC,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",13445,16556,17068,-,-,-,12904,17361,17935,-,-,-,-,11711
AI,EWS,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",13557,17948,19425,23950,-,-,14608,19226,20320,-,-,-,-,13673
AI,ST,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",70290,70290,101437,-,-,-,66778,67494,98551,-,-,-,-,51696
AI,SC,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",59916,73745,105245,-,-,-,57792,74375,104907,-,-,-,-,56260
AI,Open-PwD,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",-,-,-,-,-,-,212464,406964,894559,550063,-,-,-,-
AI,ST-PwD,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",-,-,-,-,-,-,972798,972798,972798,-,-,-,-,-
AI,OBC-PwD,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,721189
AI,SC-PwD,Telangana,"Kakatiya Med Coll, Warangal",MBBS,"₹ 14,000",1150,0,₹ 0,"₹25,960",-,-,-,-,-,-,1024283,1024283,-,-,-,-,-,-
AI,Open,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",3436,4127,4857,20409,-,-,3517,4559,5919,-,-,-,-,2892
AI,OBC,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",6287,9293,10653,21689,-,-,5813,7239,7798,-,-,-,-,4329
AI,EWS,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",5589,4864,4864,-,-,-,6915,8777,8777,-,-,-,-,6616
AI,SC,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",42514,42532,48358,-,-,-,33079,34971,47890,-,-,-,-,34828
AI,ST,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",60926,60926,76207,-,-,-,60966,60966,60966,-,-,-,-,46941
AI,OBC-PwD,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",-,-,-,-,-,-,447654,567024,567024,-,-,-,-,-
AI,Open-PwD,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",426578,426578,426578,-,-,-,-,-,-,-,-,-,-,309663
AI,ST-PwD,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,747236
AI,SC-PwD,Telangana,"Osmania Med Coll, Hyderabad",MBBS,"₹ 14,000",4800,0,₹ 0,"₹25,960",-,-,-,-,-,-,-,-,-,-,-,-,-,1277887
AI,Open,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",13409,17290,18403,-,-,-,12247,17606,20003,-,-,-,-,12965
AI,OBC,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",14153,17632,18530,-,-,-,13836,18111,21184,-,-,-,-,15996
AI,EWS,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",17313,20090,21591,-,-,-,19070,20672,21639,-,-,-,-,19688
AI,ST,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",86755,77697,116971,-,-,-,97251,97251,97251,-,-,-,-,69858
AI,SC,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",74691,79937,105533,-,-,-,93160,104025,104025,-,-,-,-,68568
AI,Open-PwD,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",-,-,-,-,-,-,635069,635069,635069,-,-,-,-,-
AI,OBC-PwD,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,"₹ 14,000",Info Not Available,0,₹ 0,"₹25,960",831736,831736,831736,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",13448,17807,19762,23318,-,-,13322,18015,19820,-,-,-,-,12352
AI,OBC,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",15799,19485,20987,-,-,-,16487,19100,20678,-,-,-,-,13892
AI,EWS,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",14628,21242,22772,-,-,-,17518,22866,24249,-,-,-,-,20208
AI,SC,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",75812,102086,112352,124235,-,-,78973,97535,121418,-,-,-,-,66395
AI,ST,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",118468,126556,145124,-,-,-,94251,134733,148849,-,-,-,-,112021
AI,SC-PwD,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",-,-,-,-,-,-,1261284,-,945149,-,-,-,-,-
AI,Open-PwD,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",367144,554514,554514,-,-,-,-,-,-,-,-,-,-,542155
AI,OBC-PwD,Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,"₹ 15,000",355,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,-,-,-,-,-,-,628885
AI,Open,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",4760,7691,10843,-,-,-,4326,7292,11182,21510,-,-,-,3935
AI,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",7290,8632,12503,-,-,-,8216,11305,14523,-,-,-,-,7095
AI,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",8214,10660,13876,22956,-,-,6372,9315,15188,22351,-,-,-,5104
AI,SC,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",44226,44226,44226,-,-,-,39830,39830,73938,-,-,-,-,40812
AI,ST,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",55849,68891,79502,162989,-,-,74085,76189,99342,-,-,-,-,57960
AI,Open-PwD,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",268377,268377,268377,-,-,-,239246,239246,239246,-,-,-,-,-
AI,SC-PwD,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",-,-,-,-,-,-,687949,687949,687949,-,-,-,-,-
AI,OBC-PwD,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,"₹ 15,000",1030,0,₹ 0,"₹25,906",405190,405190,405190,-,-,-,537197,760110,760110,-,-,-,-,-
AI,Open,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",19139,21830,22122,23481,-,-,18420,21611,23823,24744,-,-,-,18762
AI,OBC,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",19767,22312,22617,-,-,-,19193,22297,24339,24826,-,-,-,20200
AI,EWS,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",21591,24009,24009,-,-,-,22408,25339,27065,-,-,-,-,24086
AI,SC,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",98908,107646,117840,127880,-,-,99277,112048,123552,-,-,-,-,92266
AI,ST,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",131847,140738,157363,-,-,-,135192,149051,164733,-,-,-,-,120297
AI,Open,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",18585,21595,22351,-,-,-,18054,21520,23114,-,-,-,-,18587
AI,OBC,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",19677,22299,22619,-,-,-,19131,22224,23986,-,-,-,-,19856
AI,EWS,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",21430,24132,24132,-,-,-,22384,25840,25840,-,-,-,-,23264
AI,SC,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",98657,111353,119442,-,-,-,100056,120895,127736,-,-,-,-,80839
AI,ST,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",128909,138549,155303,-,-,-,135676,149004,163235,-,-,-,-,137133
AI,Open-PwD,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",-,-,-,-,-,-,772515,772515,772515,-,-,-,-,895149
AI,OBC-PwD,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,"₹ 15,000",400,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,-,-,-,-,-,-,927401
AI,Open,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",19021,21866,22287,23459,-,-,18164,20982,22861,-,-,-,-,18974
AI,OBC,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",19493,22205,22594,-,-,-,19261,21673,23743,-,-,-,-,19791
AI,EWS,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",20606,24183,24183,-,-,-,21722,25872,27140,-,-,-,-,24454
AI,SC,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",98562,113443,120821,-,-,-,98531,121819,129354,-,-,-,-,94142
AI,ST,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",125157,136430,153948,-,-,-,132340,146633,165578,-,-,-,-,120014
AI,Open-PwD,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,863726,1015093,1093139,-,-,-,-,868093
AI,OBC-PwD,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",812895,812895,812895,-,-,-,-,-,-,-,-,-,-,-
AI,SC-PwD,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,1190658,1190658,-,-,-,-,-,-
AI,Open,Andhra Pradesh,"Government Medical College, Paderu",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,22445,23830,25004,-,-,-,17923
AI,OBC,Andhra Pradesh,"Government Medical College, Paderu",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,22645,24282,-,-,-,-,20234
AI,EWS,Andhra Pradesh,"Government Medical College, Paderu",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,22484,26779,-,-,-,-,24545
AI,SC,Andhra Pradesh,"Government Medical College, Paderu",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,114405,130106,-,-,-,-,85153
AI,ST,Andhra Pradesh,"Government Medical College, Paderu",MBBS,"₹ 15,000",Info Not Available,0,₹ 0,"₹25,906",-,-,-,-,-,-,-,154000,154000,-,-,-,-,139038
AI,Open,Andhra Pradesh,Govt Med Coll Machilipatnam,MBBS,"₹ 15,000",553,0,₹ 0,"₹25,906",18517,21666,22157,23539,-,-,17942,21307,23767,24829,-,-,-,18990
AI,OBC,Andhra Pradesh,Govt Med Coll Machilipatnam,MBBS,"₹ 15,000",553,0,₹ 0,"₹25,906",18869,22053,22424,-,-,-,18877,22072,24224,24873,-,-,-,20022
