CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,Institute,Course,Quota,Category
-,-,-,-,-,-,-,40048,40048,64941,68241,"Dr MK Shah Med Coll, Ahmedabad",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SC
-,-,-,-,-,-,-,52626,52626,65558,-,"Adani Institute, Bhuj",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-ST
79479,82617,85787,-,-,-,-,65850,65850,65850,-,"Pramukhswami Med Coll, Karmsad",OBG,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,55511,64062,66253,-,"Dr MK Shah Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-SC
58416,58416,58416,-,-,-,-,66701,66701,66701,-,"CU Shah, Surendra Nagar",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,67217,67217,-,"Parul IMS&R, Vadodara",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-SC
46781,61643,80913,100187,117256,128038,-,40935,62213,67843,75675,"Pramukhswami Med Coll, Karmsad",IHBT,GUJ Govt-AllGujStud.,GQ-OP
50003,50003,50668,-,-,-,-,46867,54739,68751,-,"NHL Med Coll, Ahmedabad",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-ST
-,65271,65522,-,-,-,-,56590,60683,70705,-,"PDU Med Coll, Rajkot",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
69039,69039,69039,-,-,-,-,65699,70737,70737,-,"Zydus Med Coll & Hosp, Dahod",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,55130,59500,70912,-,"Govt Med Coll, Surat",IHBT,GUJ Govt-AllGujStud.,GQ-SE
79587,79587,85386,-,-,-,-,58150,71614,71614,-,"Zydus Med Coll & Hosp, Dahod",OBG,GUJ Govt-AllGujStud.,GQ-ST
74486,52373,76602,-,-,-,-,56936,62201,71821,-,"GCS Med Coll, Ahmedabad",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-ST
-,61238,61238,-,-,-,-,47506,72404,72404,-,"Govt Med Coll, Surat",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
55866,56220,56220,-,-,-,-,72479,72479,72479,-,"BJMC, Ahmedabad",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,50070,72602,-,"Adani Institute, Bhuj",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-SC
-,-,-,-,-,-,-,73089,73089,73089,-,"CU Shah, Surendra Nagar",OBG,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,81068,73727,73727,-,"MP Shah, Jamnagar",DCH,GUJ Govt-AllGujStud.,GQ-ST
-,79433,83280,-,-,-,-,74465,74465,74465,-,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,60683,83320,75223,-,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
43891,54963,54963,-,-,-,-,-,75786,75786,-,"BJMC, Ahmedabad",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,62085,76021,76021,-,"Parul IMS&R, Vadodara",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-ST
75949,75949,75949,-,-,-,-,76150,76150,76150,-,"Adani Institute, Bhuj",OBG,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,77067,99984,77067,-,"AMCET, Ahmedabad",ENT,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,59597,77420,-,"CU Shah, Surendra Nagar",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SC
43961,43961,43961,-,-,-,-,-,53062,77605,-,"Medical College, Baroda",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
55389,57081,57081,-,-,-,-,60646,78160,78160,-,"Pramukhswami Med Coll, Karmsad",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,53062,78531,78531,-,"Govt Med Coll, Bhavnagar",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,78897,78897,-,"Zydus Med Coll & Hosp, Dahod",ENT,GUJ Govt-AllGujStud.,GQ-SC
-,-,-,-,-,-,-,79553,79553,79553,-,"Dr ND Desai FMS & Res, Nadiad",OBG,GUJ Govt-AllGujStud.,GQ-ST
41342,49929,49929,-,-,-,-,49125,46092,79582,-,"Surat Municipal, Surat",ENT,GUJ Govt-AllGujStud.,GQ-SC
62446,62446,62446,-,-,-,-,62201,79687,79687,-,"Surat Municipal, Surat",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-ST
62223,62223,47039,-,-,-,-,80189,80189,80189,-,"Adani Institute, Bhuj",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,78160,81068,81068,-,"Parul IMS&R, Vadodara",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,81387,81387,81387,-,"Dr ND Desai FMS & Res, Nadiad",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,57989,82633,82633,-,"AMCET, Ahmedabad",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,65195,65195,-,-,-,-,56818,56818,82802,-,"MP Shah, Jamnagar",DGO,GUJ Govt-AllGujStud.,GQ-ST
64419,79216,79433,-,-,-,-,54739,83165,83165,-,"BJMC, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,50070,55919,83360,-,"Parul IMS&R, Vadodara",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-SC
-,-,-,-,-,-,-,60836,84032,85103,-,"NHL Med Coll, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,86046,86046,86046,-,"AMCET, Ahmedabad",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
65271,83432,83432,-,-,-,-,49990,49990,86306,-,"MP Shah, Jamnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,75223,86725,-,"Medical College, Baroda",RADIATION ONCOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,39239,85103,86852,-,"Govt Med Coll, Surat",ENT,GUJ Govt-AllGujStud.,GQ-ST
60301,79534,82942,-,-,-,-,75666,75666,86954,-,"AMCET, Ahmedabad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
65467,65467,65467,-,-,-,-,-,86839,87313,-,"AMCET, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-ST
67073,91478,91478,-,-,-,-,72404,87893,87893,-,"AMCET, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,59597,88287,88287,-,"Zydus Med Coll & Hosp, Dahod",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-SC
75774,76602,77160,-,-,-,-,71821,71821,89163,-,"Pramukhswami Med Coll, Karmsad",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-ST
52726,52726,55404,-,-,-,-,61461,77067,89418,-,"NHL Med Coll, Ahmedabad",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
80513,80513,95473,-,-,-,-,89669,89669,89669,-,"Surat Municipal, Surat",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,76021,89163,89735,-,"Zydus Med Coll & Hosp, Dahod",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-ST
78129,85386,94476,-,-,-,-,83165,88044,91148,-,"NHL Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,70912,91425,120278,"Pramukhswami Med Coll, Karmsad",IHBT,GUJ Govt-AllGujStud.,GQ-SE
87740,87740,87740,-,-,-,-,-,123708,91436,109242,"Surat Municipal, Surat",TBRD,GUJ Govt-AllGujStud.,GQ-ST
62804,81541,86662,-,-,-,-,77590,79063,91583,-,"NHL Med Coll, Ahmedabad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
43298,58431,79055,98905,-,-,-,44748,68711,93366,-,"MP Shah, Jamnagar",IHBT,GUJ Govt-AllGujStud.,GQ-SE
74546,83784,83784,-,-,-,-,64208,64208,94228,-,"GMERS, Sola",TBRD,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,77605,77605,96386,-,"GMERS, Gotri, Vadodara",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,79431,82802,96702,-,"Govt Med Coll, Surat",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
85676,86138,86138,-,-,-,-,85616,96854,96854,-,"NHL Med Coll, Ahmedabad",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
75624,91740,97064,-,-,-,-,77825,97897,97897,-,"NHL Med Coll, Ahmedabad",ENT,GUJ Govt-AllGujStud.,GQ-ST
85386,97426,97426,-,-,-,-,87893,99025,99025,-,"GCS Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,79687,96386,99984,-,"GCS Med Coll, Ahmedabad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,88044,87313,100002,-,"Dr MK Shah Med Coll, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,85291,101712,101712,-,"Govt Med Coll, Surat",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-OP-PH
87940,94906,94906,-,-,-,-,91148,98971,102003,-,"GCS Med Coll, Ahmedabad",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,86852,86852,104288,-,"GMERS, Sola",ENT,GUJ Govt-AllGujStud.,GQ-ST
95543,95543,116159,131013,-,-,-,96386,105233,105233,-,"GMERS, Gotri, Vadodara",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
82942,85787,103098,-,-,-,-,103864,103864,105911,-,"Surat Municipal, Surat",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,91436,91148,106829,-,"GMERS, Gandhinagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
66541,66541,88820,129766,-,-,-,104288,107467,107467,-,"Surat Municipal, Surat",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,89418,88024,109331,-,"GMERS, Sola",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,102287,102287,-,-,-,-,110528,110528,110528,-,"Pramukhswami Med Coll, Karmsad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,88820,93725,-,-,-,-,110858,110858,110858,-,"Pramukhswami Med Coll, Karmsad",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,91583,89418,111173,-,"Parul IMS&R, Vadodara",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
95974,101665,101455,-,-,-,-,110287,113988,112300,129003,"Adani Institute, Bhuj",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
93865,93865,93865,-,-,-,-,89163,112843,112843,-,"Zydus Med Coll & Hosp, Dahod",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
79534,96545,109478,-,-,-,-,107310,115587,115587,-,"Pramukhswami Med Coll, Karmsad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
98694,108776,126061,-,-,-,-,97897,120136,120136,-,"Pramukhswami Med Coll, Karmsad",ENT,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,112843,121043,121043,-,"Dr ND Desai FMS & Res, Nadiad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
86662,86662,135155,-,-,-,-,112025,121628,121628,-,"Parul IMS&R, Vadodara",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,86725,123600,-,"Parul IMS&R, Vadodara",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-ST
86037,93013,99844,-,-,-,-,105233,124086,124086,-,"Dr MK Shah Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,38309,77687,124633,131596,"MP Shah, Jamnagar",IHBT,GUJ Govt-AllGujStud.,GQ-SC
93136,107311,107311,-,-,-,-,-,126384,126384,-,"Parul IMS&R, Vadodara",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
81578,81578,81578,-,-,-,-,98971,128430,128430,-,"Adani Institute, Bhuj",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,113487,128792,128792,-,"Shantabaa Medical Coll, Amreli",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,-,130934,-,"Nootan Med Coll & RC, Mehsana",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
93725,99537,112860,-,-,-,-,-,105911,134041,-,"Adani Institute, Bhuj",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,111173,109867,135224,-,"Zydus Med Coll & Hosp, Dahod",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,116270,127661,137865,-,"Dr MK Shah Med Coll, Ahmedabad",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,111764,91436,142527,-,"CU Shah, Surendra Nagar",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-ST
84277,99922,99922,-,-,-,-,102003,111173,144820,-,"Surat Municipal, Surat",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
91313,91313,91313,-,-,-,-,89735,116270,147247,-,"Zydus Med Coll & Hosp, Dahod",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,-,123480,153004,-,"CU Shah, Surendra Nagar",ENT,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,29080,-,-,-,"Medical College, Baroda",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-OP-PH
-,-,-,-,-,-,-,80975,-,-,-,"BJMC, Ahmedabad",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-SE-PH
-,112860,122837,-,-,-,-,113988,-,-,-,"Pramukhswami Med Coll, Karmsad",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,114247,-,-,-,"Dr ND Desai FMS & Res, Nadiad",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-ST
-,118821,118821,-,-,-,-,115587,-,-,-,"Surat Municipal, Surat",ENT,GUJ Govt-AllGujStud.,GQ-ST
-,-,-,-,-,-,-,117202,117202,-,-,"Govt Med Coll, Surat",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-SE-PH
-,-,-,-,-,-,-,118349,-,-,-,"Dr ND Desai FMS & Res, Nadiad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-ST
595,687,687,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-EW
1151,1793,1793,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-OP
1039,1904,2051,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-EW
1114,1921,2141,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-EW
1649,2502,2502,-,-,-,-,-,-,-,-,"GMERS, Sola",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-OP
739,739,2595,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-EW
1299,2183,2732,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-EW
3290,3923,3923,-,-,-,-,-,-,-,-,"AMCET, Ahmedabad",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-OP
3272,3272,5256,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-SE
5333,5333,5333,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-SE
5387,5387,5387,-,-,-,-,-,-,-,-,"Surat Municipal, Surat",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-EW
3336,5406,5406,-,-,-,-,-,-,-,-,"GMERS, Gotri, Vadodara",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-OP
7293,7293,7293,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SE
7366,7366,7366,-,-,-,-,-,-,-,-,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-SC
3137,4024,7463,-,-,-,-,-,-,-,-,"Medical College, Baroda",PAEDIATRICS,GUJ Govt-AllGujStud.,GQ-EW
4024,3764,7527,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",DMRD,GUJ Govt-AllGujStud.,GQ-OP
6441,7624,7624,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",OBG,GUJ Govt-AllGujStud.,GQ-EW
7820,7820,7820,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-OP
4522,6543,8628,-,-,-,-,-,-,-,-,"Medical College, Baroda",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-EW
6019,7545,8634,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",OBG,GUJ Govt-AllGujStud.,GQ-OP
2797,8675,8675,-,-,-,-,-,-,-,-,"Medical College, Baroda",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-SC
8935,8935,8935,-,-,-,-,-,-,-,-,"GCS Med Coll, Ahmedabad",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-SE
6343,7976,9272,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",OBG,GUJ Govt-AllGujStud.,GQ-EW
4152,9693,9693,-,-,-,-,-,-,-,-,"Medical College, Baroda",GENERAL MEDICINE,GUJ Govt-AllGujStud.,GQ-SC
8948,9913,9913,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",DMRD,GUJ Govt-AllGujStud.,GQ-SE
4743,7465,10132,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-OP
4218,11154,11412,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-OP
7912,9414,11779,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-OP
11943,12067,12067,-,-,-,-,-,-,-,-,"Dr MK Shah Med Coll, Ahmedabad",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-OP
9376,12188,12466,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-OP
9218,11779,12726,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-OP
9272,11769,12811,-,-,-,-,-,-,-,-,"GMERS, Sola",OBG,GUJ Govt-AllGujStud.,GQ-EW
12434,12434,13049,-,-,-,-,-,-,-,-,"GCS Med Coll, Ahmedabad",OBG,GUJ Govt-AllGujStud.,GQ-OP
7300,8669,13227,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",DDVL,GUJ Govt-AllGujStud.,GQ-SE
10445,13613,13613,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-OP
-,13647,13647,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-OP
9217,12749,13781,-,-,-,-,-,-,-,-,"Medical College, Baroda",TBRD,GUJ Govt-AllGujStud.,GQ-SE
11602,12543,13998,-,-,-,-,-,-,-,-,"BJMC, Ahmedabad",ENT,GUJ Govt-AllGujStud.,GQ-OP
-,10132,14021,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-EW
8944,8944,14403,-,-,-,-,-,-,-,-,"Zydus Med Coll & Hosp, Dahod",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-OP
14405,14405,14405,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-ST
12556,12999,14520,-,-,-,-,-,-,-,-,"Dr MK Shah Med Coll, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-OP
11366,12745,15203,-,-,-,-,-,-,-,-,"GMERS, Gotri, Vadodara",TBRD,GUJ Govt-AllGujStud.,GQ-EW
12670,12811,15343,-,-,-,-,-,-,-,-,"Surat Municipal, Surat",OBG,GUJ Govt-AllGujStud.,GQ-EW
12191,14860,15380,-,-,-,-,-,-,-,-,"GCS Med Coll, Ahmedabad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-EW
10868,15384,15384,-,-,-,-,-,-,-,-,"Pramukhswami Med Coll, Karmsad",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-OP
10105,11228,15477,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",DCH,GUJ Govt-AllGujStud.,GQ-EW
11859,15531,15779,-,-,-,-,-,-,-,-,"Pramukhswami Med Coll, Karmsad",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-OP
14695,15860,15860,-,-,-,-,-,-,-,-,"NHL Med Coll, Ahmedabad",TBRD,GUJ Govt-AllGujStud.,GQ-SE
-,15179,16661,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",DGO,GUJ Govt-AllGujStud.,GQ-EW
17862,17862,17862,-,-,-,-,-,-,-,-,"Adani Institute, Bhuj",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-EW
17970,15490,15490,-,-,-,-,-,-,-,-,"NHL Med Coll, Ahmedabad",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SE
18299,18299,18299,-,-,-,-,-,-,-,-,"GMERS, Sola",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SE
13859,18330,18330,-,-,-,-,-,-,-,-,"GMERS, Gotri, Vadodara",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-EW
12601,12601,18871,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",ENT,GUJ Govt-AllGujStud.,GQ-OP
17069,17133,19544,-,-,-,-,-,-,-,-,"AMCET, Ahmedabad",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-SE
11412,15203,19772,-,-,-,-,-,-,-,-,"Adani Institute, Bhuj",TBRD,GUJ Govt-AllGujStud.,GQ-EW
15497,14841,20517,-,-,-,-,-,-,-,-,"AMCET, Ahmedabad",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SE
14559,16813,21602,-,-,-,-,-,-,-,-,"Surat Municipal, Surat",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-EW
14488,17149,21852,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",ENT,GUJ Govt-AllGujStud.,GQ-SE
19812,22439,22439,-,-,-,-,-,-,-,-,"Adani Institute, Bhuj",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-EW
16813,17765,22523,-,-,-,-,-,-,-,-,"Dr MK Shah Med Coll, Ahmedabad",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-OP
14971,22789,22789,-,-,-,-,-,-,-,-,"Parul IMS&R, Vadodara",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-OP
12312,23067,23067,-,-,-,-,-,-,-,-,"Medical College, Baroda",OBG,GUJ Govt-AllGujStud.,GQ-SC
14674,19098,23302,-,-,-,-,-,-,-,-,"Medical College, Baroda",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-EW
24354,24354,24354,-,-,-,-,-,-,-,-,"Medical College, Baroda",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-SC
19289,24404,24404,-,-,-,-,-,-,-,-,"GMERS, Gandhinagar",ENT,GUJ Govt-AllGujStud.,GQ-EW
15939,15939,24443,-,-,-,-,-,-,-,-,"GCS Med Coll, Ahmedabad",EMERGENCY MEDICINE,GUJ Govt-AllGujStud.,GQ-OP
19307,22212,24936,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-SE
15886,20859,25173,-,-,-,-,-,-,-,-,"Medical College, Baroda",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-SE
15404,19272,25681,-,-,-,-,-,-,-,-,"MP Shah, Jamnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,GQ-EW
25979,25979,25979,-,-,-,-,-,-,-,-,"CU Shah, Surendra Nagar",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-SC
26449,26449,26449,-,-,-,-,-,-,-,-,"Surat Municipal, Surat",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-EW
26759,26759,26759,-,-,-,-,-,-,-,-,"Parul IMS&R, Vadodara",DERMATOLOGY,GUJ Govt-AllGujStud.,GQ-EW
-,26997,25818,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",DO,GUJ Govt-AllGujStud.,GQ-OP
27599,27599,27599,-,-,-,-,-,-,-,-,"Adani Institute, Bhuj",PSYCHIATRY,GUJ Govt-AllGujStud.,GQ-EW
13790,23163,28448,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",OBG,GUJ Govt-AllGujStud.,GQ-SC
28740,28740,28740,-,-,-,-,-,-,-,-,"Parul IMS&R, Vadodara",RADIO DIAGNOSIS,GUJ Govt-AllGujStud.,GQ-EW
21852,25495,29327,-,-,-,-,-,-,-,-,"PDU Med Coll, Rajkot",RADIATION ONCOLOGY,GUJ Govt-AllGujStud.,GQ-SE
15912,21990,29344,-,-,-,-,-,-,-,-,"Govt Med Coll, Bhavnagar",OPHTHALMOLOGY,GUJ Govt-AllGujStud.,GQ-SE
21900,26692,29760,-,-,-,-,-,-,-,-,"Dr MK Shah Med Coll, Ahmedabad",GENERAL SURGERY,GUJ Govt-AllGujStud.,GQ-EW
13289,26293,29838,-,-,-,-,-,-,-,-,"Govt Med Coll, Surat",ORTHOPAEDICS,GUJ Govt-AllGujStud.,GQ-SC
